AirlineName,CabinType,OverallScore,Recommended,Review,sentence_count_period,proxy_label,vader_original_full,vader_original_sentence_avg,vader_adjusted_full,vader_adjusted_sentence_avg
British Airways,Economy Class,1.0,no,"British Airways is the most terrible airline I’ve dealt with. They have caused our family extreme stress and disappointment - we have tried for a week now to speak to someone as we can’t make the changes online. They hang up on you every time you call them - we have been driven to despair by their treatment of their customers. You can’t check in online, the application sucks so much you’re better off trying to code your own app and it’ll probably work better, every time you try to check in you are taken to a page that says we can’t verify your documents yet the app and website say you’re verified and ready to go. You upgrade and pay for upgrade and it says it’s guaranteed and then when you go to check in which you have to go to the airport for because online won’t work, they give you a different seat than you paid for and a lower class and offer nothing in return.  I hope I never have the misfortune of getting stuck flying with British Airways ever again.",6,negative,-0.7897,-0.17403333333333335,-0.7897,-0.17403333333333335
Spirit Airlines,Economy Class,1.0,no,"My daughter was to fly From Philadelphia to Myrtle Beach to help my wife while I have a serious operation, however Spirit cancelled a full flight at the last minute for no good reason. This is not the first time we have had this happen with Spirit, nor the second or third. This airline has no regard for its passengers at all. I saw the President of the Airline on Fox Business telling them that Spirit would have to work hard to regain the publics confidence. Well they failed.",5,negative,0.1516,0.012900000000000012,0.1516,0.012900000000000012
Royal Air Maroc,Economy Class,1.0,no,"Flew Royal Air Maroc from Munich to Casablanca. Chaos to say the least. They lost my luggage and 4 days later I can't get an answer on the phone as to what is going on. Not helpful and very slow service. Honestly how in 4 days can you not locate my bag? Overall flight was Ok, food was terrible, plane was old and dirty.",5,negative,-0.877,-0.33481999999999995,-0.8213,-0.2702
WestJet Airlines,Economy Class,1.0,no,"On my flight home from my vacation, it was noticed that my licence and health card had expired. I was told to stand aside and I was not able to board the plane. I was distraught, as I had flown in on the same ID and did not have access to my passport, as I was trying to return home. The crew would not help me and told me I needed to wait for a manager. They left me standing, distraught, in a corner while they boarded the other passengers and then left. The manager came 15 minutes later and told me I could try to update my licence on-line and then he left as well. It took me 5 minutes to update my licence. I take responsibility for arriving with an expired licence. That was my fault. However, with some help and compassion, I could have renewed my licence while I was waiting, and did not need to miss my flight. I was treated like a piece of garbage in everyone’s way instead of a paying customer who made a simple mistake and who was very upset. I had to pay for another ticket and it took an extra 20 hours for me to get home. I did not book the return trip with Westjet and will not fly with them again.",13,negative,-0.7968,-0.10343076923076923,-0.7968,-0.10343076923076923
Icelandair,Economy Class,2.0,no,"I have never been so annoyed at an airline. When I got into Reykjavík from Denver we had to wait on the plane for 45 mins before being allowed to deplane. I had a connection to Manchester a couple of hours later. I boarded the plane the normal time and then proceeded to sit on the plane for 3 and a half hours without taking off. Apart from all the problems with delays, they serve absolutely nothing for free. You will pay for drinks, meals, snacks. I will never fly with Icelandair again.",7,negative,-0.8567,-0.18735714285714286,-0.8567,-0.18735714285714286
Lufthansa,Economy Class,1.0,no,"Lyon to Munich. Flight had 2 hours delay. Because of the delay there was no more public transportation when I arrived in Munich andI had to go to Augsburg. The cabin crew advised us to go to the service center when arriving at the airport. Problem is at that time there was nobody. So I decided to take a taxi to Augsburg for 160€. I wrote the customer service who replied pretty fast to inform me that this was not covered, so that they would not pay anything.",7,negative,-0.6129,-0.10295714285714286,-0.6129,-0.10295714285714286
Tigerair Australia,Economy Class,1.0,no,"Adelaide to Melbourne. Very poor customer service at the Tigerair Australia checkin, although I have checked in online using their confusing online checking system but they did not allowed me boarding as they think my my online chekin was incomplete. And despite the 2 hours flight delay as I was forced to purchase a $400 ticket from other airline. I have always heard about the terrible tiger air customer service, but now I’ve seen it my self.",4,negative,-0.9293,-0.325375,-0.9293,-0.325375
Jetblue Airways,Economy Class,1.0,no,"Flight from LAX to ATX was delayed but took off. Flight from ATX to LAX got canceled just a few hours before the flight. Not reason given. I spent hours and hours on wait. Their webpage is useless as they do not have the information. They have the link and the titles but the information is not there or very bogus. When I finally got connected they wanted to offer a re-schedule to the ""NEXT"" available flight 5 days later to NYC and then to LAX. They explained that if I didn't want to take this option they could review my case and they would let me know in 7 days if I qualify for a reimbursement. Not Once they could answer what was the reason for the flight to be cancelled. I had the option to spend $$$ on a flight home that day (Which I did for $600 dollars, bc last minute flight) or spend $$$ on hotel for 5 days (5 X $300, plus meals, plus transportation, plus my car parked in LAX, plus my child's sitter) The whole thing was so ridiculous. I would have been better off getting a better class with another airline from the get go than trying to spare some money and having to spend it anyway and being super stressed about it. I got zero help whatsoever with them. If you get cancellation from them, do not waste your time, they would not solve anything for the life of them.",13,negative,0.6446,0.0039999999999999845,0.7018,0.00454615384615383
Air China,Economy Class,5.0,no,"✅ , |  Frankfurt to Nanchang via Beijing. During the first leg, the seat space in economy was mostly ok, but could have been better. Seating is 3-4-3. The Inseat-entertainment was modern but crashed once. Stupid thing is, that in order to call the cabin crew, you need a working IFE as there is no additional external button any more. Then the beer supply ran out already during the first meal serving. I was offered a chinese red wine instead which i declined due to bad experience from previous flights. There is only chinese wines ""Great Wall"" being served in economy anyway. Don't go for it. Food was not the best. IFE choice was mostly chinese movies with chinese subtitles; hardly any new international movies. Cabin crew was doing a good job, boarding in FRA was fast and efficient. Domestic flight PEK-KHN showed no IFE and no meals; only some strange buns and limited drink choice. Flight start got delayed in PEK for 45 mins without explanation. That is normal and happens many times on domestic flights inside China. Basically you get what you pay for.",16,unknown,-0.8946,-0.05576249999999999,-0.7052,-0.029799999999999993
Kenya Airways,Economy Class,3.0,no,"On the 30-07-2018 my 2 year old granddaughter and I were on a return flight from Harare to Bristol via Lusaka, Nairobi and Paris. When we arrived in Lusaka (Zambia) we were informed that the plane was technically unfit to fly to Nairobi. This caused an unexpected 6 hour delay in Lusaka. In Lusaka no announcement was given in regards as to what was going to take. As a result of this delay we missed our connecting flight in Nairobi to France which was at 23:00 hrs on the the same day. On arrival in Nairobi the following morning 31-07-2018 we were informed that the next available flight was available causing in fact a further 15 hour delay in our travel. Kenya airways booked us on a flight with KLM to Amsterdam which was a change from Paris to Bristol in our original itinerary. All these delays and changes in our flights was extremely stressful.",8,negative,-0.8983,-0.21997499999999998,-0.8938,-0.214225
Malaysia Airlines,Economy Class,2.0,no,SYD-KL-HAN. Extremely disappointed in the MA service. We ordered vegetarian meals on all four flights however there was a huge mix-up and were given everything but vegetarian meals. We called the booking line when we arrived at our destination to make sure that our meals were vegetarian on the way back. They confirmed that they would be. We got on our return flight and we were only served one vegetarian meal and one meal with meat. We spoke to the air hostess who said it was our fault because we didn't order a vegetarian meal with our booking. This was incorrect. Treating us as hindrances rather than being accommodating or apologetic the attendant offered the staff meal which was vegetarian slop served cold. As you can imagine we were extremely unimpressed. Further the MA planes are dated and seating is uncomfortable. The attendants don't clean the toilets throughout the flight so the floors were wet and the toilets smelt. Hands down the worst four flights of my life and will never fly MA again.,13,negative,-0.956,-0.16614615384615383,-0.9427,-0.14668461538461539
Jet Airways,Business Class,3.0,no,BRU-BOM on 9th of November. Pretty surprised of the high standards and professionalism of Jet Airways. Food was very tasteful well presented and plenty. On top of that we were served by an extremely friendly crew. Return flight DEL-BRU the 1st December was completely the opposite though. Before takeoff menus were distributed and you had to give your choice. I hardly had the chance to look at the menu when the rude stewardess said I had to make my choice. Once my choice made she grabbed the menu out of my hands and took it back. Food was the most terrible I ever had on a flight. The refreshment was tiny and extremely spicy and was served as good as cold. Breakfast even was worse with a few slices of tasteless unripe fruit smashed on a plate followed by a cold omelette and 2 hard cold greasy discs that were expected to be hash brown potatoes! Just as with the refreshment served earlier presentation was inexistent and looked like everything was just smashed on the plate. I told the stewardess this was the worst meal I ever had on a plane. She apologized and offered me cereals instead this was business class! The only positive point were the flat bed seats.,13,negative,0.8555,0.07736923076923079,0.8481,0.08274615384615383
Emirates,Economy Class,2.0,no,"Bangkok to Hong Kong. Purchased the ticket last minute due to sudden change of plan, approached check in desk 60 minutes before a supposedly 13:45 departure and was told off about being late. Once airside, boarding was not announced until 13:45 and flight departed at 15:00. There were many Emirates staff hanging around at the gate but no one bothered to make an announcement. Clearly Bangkok's gate holding lounges are not designed to accommodate a full load of A380 passengers and it was jam packed. No effort was made by the Emirates ground staff to separate passengers. Boarding at the beginning was a free flow until several very sultry ground staff restored order. Once on board, cabin crew was cold. The lady responsible for the area I sat in was very rude with people that do not speak fluent English when distributing the 'meal' (tasteless and cold curry chicken rice) and if you dare to ask her for something she does not have in the trolley (Diet Coke for example), the request would fall on deaf ear. Despite such rudeness, service was slow and inefficient. They only served the meal one hour after take off and barely managed to collect the trays at top of descent. Inflight entertainment was good and a saving grace so that you do not have to speak with the crew.",12,negative,0.9704,0.14599166666666666,0.9752,0.16684166666666667
Frontier Airlines,Economy Class,4.0,no,"Pensacola to Denver. Flight was delayed an hour, then was cancelled. Having nowhere to sleep for the night I asked for assistance and received a hotel voucher. Arrived the next day for the rebooked flight and it was also delayed and took off an hour after it was supposed to.",4,negative,-0.5859,-0.16667500000000002,-0.6124,-0.1772
Etihad Airways,Economy Class,4.0,no,"Went on Etihad as a second leg of my journey from Berlin to Kuala Lumpur. After a good and pleasant flight on Air Berlin and a much needed shower and rest at the Al-Reem Lounge at the Abu Dhabi airport, the journey on Etihad in Economy Class felt like a prison. Flight was fully booked and very noisy. Seating arrangements on plane was 2-4-2 with very little legroom and narrow seat pitch. My partner who is 6'4"" had to put his legs to the aisle to avoid pressing onto the chair of the person in front of us. The saving glory was that the entertainment onboard was good and cabin crew was pleasant. Food was only ok. Throughout the flight I was so uncomfortable and hot that I kept fidgeting and tossing and turning trying to find a comfortable position, which I was not able to. Dreading my flight back to Berlin already.",9,negative,0.947,0.0863888888888889,0.9264,0.050566666666666676
Spirit Airlines,Economy Class,1.0,no,"If it was possible to give a zero, I most definitely would. Second or third night in a row this flight was cancelled. Horrible communication on the staff’s part. They had us waiting 7 hours yesterday and 5 hours today. A lady was very upset about missing her wedding and Spirit doesn’t care. The attendants are extremely rude and act irritated when we just want any update we can get. There’s a reason people say this is the worst. Never flying with them again. The extra $40 extra for another airline is nothing in comparison to the stress Spirit will give you. Use any other airline.",10,negative,-0.9344,-0.20676999999999998,-0.921,-0.19613999999999998
Air Berlin,Economy Class,1.0,no,"This was my first time flying with Air Berlin on a trip from Chicago to Salzburg and a return flight from Prague to Chicago. It was the worst airline experience I have had in about 20 years of frequent flying. Here are some key reasons: Customer Service is non-existent. No one ever answers their phone number and their online service always returns an error message. I tried for two weeks both online and on telephone with one simple request, to upgrade my seat on my return flight (in other words, pay them more money!). One night, with Expedia on the line with me, we waited on hold for 95 minutes and I finally fell asleep at 1am. Also, with one exception on return flight, every single Air Berlin person I dealt with was not only extremely poor at customer service, but even rude. One flight attendant was just mean to the person in front of me who asked if they could give them their trash. Another flight attendant was rude when I asked a simple question at the counter. Another in baggage claim area in Berlin was rude. Their seats in economy are smaller than any other airline seat I have experienced. I had an eight hour flight with the seat back in front of me literally 10 inches from my face. I am 5 feet 5 inches and my knees hit the seat in front of me the whole time. Be aware they will charge you $60-100 extra just to pick a seat - any seat, including economy - in advance of your flight. The WIFI does not work. I paid for WiFi going over and back and was never able to get on it. The flight attendants were no help whatsoever and were again rude when I inquired The worst part was that I experienced two delayed flights - one from Berlin to Salzburg and one from Berlin to Chicago. Both were handled terribly. When I arrived late in Chicago to make my connection to MSP, I literally ran to the gate and got there in time to get on the flight, but Air Berlin without my consent or knowledge had changed my flight to a flight 4 hours later instead and American Airlines would not let me get on my original flight. When I called Air Berlin to complain about this while sitting in ORD for 4 hours, I again waited on hold for 2 hours and finally decided they did not deserve any more of my time or effort in giving them feedback. They probably won't even read this or care, but I wanted to alert other travelers - avoid this airline!",21,negative,-0.9854,-0.1735095238095238,-0.9738,-0.1369238095238095
Norwegian,Economy Class,1.0,no,"Gatwick to Barcelona. I could not log into the web site to add advanced passenger information. Boarding the plane at Gatwick was shoddily organized, I asked the lady at the gate check in if this was the correct place and was answered in an answered very curtly. We were then cattle penned into an area where we uncomfortably stood for about 15 mins. Why let us through so early when nothing was ready, we could have been sitting down. The aircraft took off approx 45mins late and not one word of apology. When we touched down in Barcelona there was no update on weather or change of time. I was told by my booking agent they requested an aisle seat as I had a bad back problem this was not actioned.",8,negative,-0.8753,-0.17586249999999998,-0.8753,-0.17586249999999998
Alaska Airlines,Economy Class,1.0,no,"Flew Alaska Airlines from San Diego to Boston. Absolutely terrible. Today we were taxiing to the runway and the pilot came on the intercom to tell us the second engine won’t start! So now we are back at the gate waiting for them to fix the plane. How are you so negligent that you don’t know an engine won’t start until after you’re headed to take off? This is ridiculous. Now we have hours of delays to fix something that should have been addressed before we even boarded the flight. The previous time I flew Alaska, this thanksgiving, we stopped in Minnesota to change pilots on our way to Boston. We had to land, change crews, and take off again! 2 hours late! How do you do that to people. Do not fly this airline, unless you wish to be late.",8,negative,-0.7157,-0.0889,-0.8218,-0.12211249999999998
CityJet,Economy Class,1.0,no,Booked a return flight from Amsterdam to Cambridge well in advance. Exactly 1 month before my departure I received an email that the flight times had changed. The time changes were not an hour or so but half days instead of arriving at 10am it would now be arriving at 14.00 whilst the return flight was now 4 hours earlier? Making it impossible for me to make my appointments. Customers services (after a very long wait) quite arrogantly told me they couldn't do anything for me no alternative solutions were offered. I am now forced to take another more expensive flight to Stansted with an additional train ticket to get to Cambridge. Very disappointing service from CityJet. It is completely strange that airlines can still get away with this.,8,negative,-0.9615,-0.2124875,-0.946,-0.17607500000000004
Alitalia,Economy Class,1.0,no,"I bought a flight London to Istanbul via Rome with Alitalia, which will be on the 18 of December 2016. Recently I noticed an automatic message from Alitalia in the spam folder that there are changes in my schedule. I called to Alitalia, they said the company can only rebook the flight 5 days later - it is too late for me. Because of this I have to buy flights just 3 weeks before the trip and the cost of flights are double. It is my first experience with Alitalia and I certainly won't use their service again - their schedule isn't stable, the service is poor, they don't appreciate customers' demands.",5,negative,-0.7466,-0.19066,-0.735,-0.18656
Thomas Cook Airlines,Economy Class,1.0,no,8th June Manchester to Antalya TCX2538. 15th June Antalya to Manchester TCX2539. Just used Thomas Cook to fly to Turkey and back absolutely disgusted at how dirty the plane was old food between the seats and by old and mean months old food in the gaps on the floor I opened my table and more food! Staff great pilot - perfect flight great take off and landing both ways but I couldn't get past the filth! Will never fly Thomas Cook again!,3,negative,0.6323,0.21076666666666666,0.682,0.22733333333333336
Aerolineas Argentinas,Economy Class,1.0,no,My flight was overbooked and I was forced to stay in Brazil for extra 3 days. Staff at Rio airport are very rude. No apology from staff for not having a place for me and my son to return to Sydney. I also lost time at work which I was not paid for. All of this for choosing to travel with Aerolineas Argentinas for many years. I now will travel with any other airline never Aerolineas Argentinas again.,6,negative,-0.8283,-0.22078333333333333,-0.8283,-0.21425000000000002
United Airlines,Economy Class,1.0,no,"When we landed at Vancouver airport the pilot announced that the ground crew went to a wrong gate other side of the building. They made us wait around 30 mins inside the plane. When they opened the door, I asked flight crew which carousel the luggage will come, they pointed me to the people standing outside the plane, who did not know anything. When we all reached the carousel we again had to wait for more than 30 mins before bags started coming. There was no one to answer questions.",5,negative,-0.5994,-0.13399999999999998,-0.5994,-0.13399999999999998
Air Transat,Premium Economy,1.0,no,We flew to Vancouver it was just ok in Club TV screen on the wall no choice for a 9 hour trip. Our daughters were in coach and were cramped and hungry and couldn't see the TV so bored as well. We flew back from Calgary and the flight was worse there was still the old style TV's on the wall we were at the front so had the clatter of the kitchen throughout the night as well as the steward talking loudly about his weekend. If you wanted to use the toilet you had to walk though the kitchen and get in the stewards way Also had to ask for the toilet to be cleaned as it was disgusting. Again our well travelled daughters commented that this was the worst flight they had ever been on food awful and hard to get a drink. Would not willingly use this airline again.,6,negative,-0.9038,-0.27071666666666666,-0.9213,-0.3104
Volaris,Economy Class,1.0,no,"Horrible service at check in. Volaris charged me $50.00 for a carry on bag claiming it was bigger in size than what they allowed but I had this same bag for over 5 years and no other airline ever charged me extra in the past. I discussed with attendant to the point it became an argument and he never made the slightest attempt to be flexible. I didn't want to argue more so paid the fees but told him I would never fly with Volaris ever again - he had the nerve to say ""never say never mister"". I had an international flight and they offered no drinks at all. The cost for a soft drink was $1.60 US dollars. Their prices are normally lower when you but the ticket but they're constantly on the watch to see where they can make money from you.",9,negative,-0.8985,-0.20607777777777778,-0.8801,-0.1736
Jetblue Airways,,1.0,no,"I have been a frequent flyer on JetBlue and lately I have been thoroughly displeased with them. I haven't been on a flight of theirs that actually took off at its scheduled departure in the past year or so. There are constant delays with the excuse that it's due to ""weather"" issues when I know there are no bad weather patterns from where I am to where I'm going. They use it as an excuse so that they don't have to pay the customers any money for retribution. Then once on my flight they are in a hurry to only offer the limited free menu items. We are not offered any drinks or complimentary snacks besides peanuts and soda. Flight attendants are also in a rush for people to get off their cell phones and become rude. This past flight they did just that and then we continued to sit on the runway for an additional half an hour during which time I used my cell phone because we weren't going anywhere. I do not recommend JetBlue despite their reasonable prices.",9,negative,0.1884,0.0212111111111111,0.4104,0.044411111111111096
Malindo Air,Economy Class,1.0,no,"I travelled on flight 802 from Singapore to Kuala Lumpur yesterday.  The flight was fine but my luggage was delayed at KLIA2 for over an hour because of the rain. Granted the luggage handlers are not under your purview but what was even more amazing was the lack of knowledge from the ground staff on what was going on. There were quite a number of passengers waiting patiently at belt 6.  Unlike AirAsia, who made numerous announcements and had staff available at the luggage belts to try to assist.  Malindo did not bother.  Eventually luggage started coming out from belt 6 but they were from AirAsia flights.  None were from Malindo which caused some confusion but passengers continued to wait. Then some passengers informed the rest the luggage came out via large item belt at the corner where Malindo lost luggage office is. No Malindo staff bothered to inform the passengers nor made any announcements.",10,negative,-0.4289,-0.02099999999999999,-0.4568,-0.024499999999999984
Southwest Airlines,Economy Class,4.0,no,"I've previously written about four negative experiences that I had in a row flying on SWA. I still had a small travel voucher that I didn't want to go to waste, so I decided to use it. My experience was average, I suppose. While I've also written generally glowing reviews about SLC airport, the SWA check-in staff at SWA were blasé. Not rude, not mean, but also not remotely interested-acting or helpful. Just robotic. I even get more helpful service on United (relatively speaking, and that says something). Same for the SWA gate staff. As for flight staff, the flight attendants were a mix of very cheery and upbeat (almost scarily so), or yeah, blasé and even kind of bossy to and barking orders at passengers. Not very helpful. At least the FA I had to interact with for the most part was the cheery and upbeat one. Once at Houston Hobby, it took almost 30 minutes to retrieve checked baggage from the carousel, while this may be more of a Hobby airport personnel problem, this is a problem that Southwest needs to address with airport management, as the airport is an airline hub. On the bright side, the plane was almost spanking new and very clean. The snack and Coke served were delicious. The plane was only about half occupied, though I don't know whether that has to do with bookings and demand, or with the fact that we're still in a pandemic. Social distancing was possible and enforced, as a result. Overall summary: at least this flight experience on SWA was average rather than hostile, so I guess that's an improvement for this airline. I still wouldn't recommend, as it will take many more average or above-average flights with them to convince me that they're not actually the worst airline in the USA (and I'm far more willing to fly on Delta or Alaska normally anyway for domestic flights).",18,negative,0.9856,0.12987777777777781,0.9802,0.11364444444444446
Sunwing Airlines,Premium Economy,6.0,no,Just returned home from St Maarten. My wife and I flew Sunwing for our first time. Everything was fine until we arrived back in Toronto on Sunday night. We sat on the tarmac for half an hour because no gates were available. Once we finally got off the plane and made our way down to baggage we sat there for two and half hours before they told us that the luggage was not going to be unloaded off the plane due to the cold temperature. The place went crazy and no one with any authority from Sunwing was present to provide proper details to a very tired group of passengers. 4 days later we finally received our luggage.,7,unknown,-0.7841,-0.12158571428571428,-0.7841,-0.12158571428571428
Jetblue Airways,Economy Class,2.0,no,"JetBlue reviewed my husband and I vacation we waited months to go to. They cancelled our 11:30am a day before and then tried to “accommodate” us by putting us on a flight that leaves the day After with a 12hr layover in Boston. That’s the only option we were given. Understandable there was warnings of a storm , but they could of delayed the flight like every other Airline did at JFK. I will never fly with them, I will just stick to Delta because they never disappoint and are Always accommodating.",5,negative,0.3993,0.02722,0.3689,0.019520000000000003
Air Europa,Economy Class,1.0,no,"✅ , |  We took Air Europa from Miami to Madrid. After 2 days flew to Barcelona, 8 days later Barcelona to Madrid and Madrid to Miami. The flights all left between 30 minutes to 2 hours late. Regarding the meals don't count with the what is served aboard because you will be disappointed. When we flow from Madrid to Miami the crew staff was rude, for dinner they served only one option of sandwich with cheese and pork which some of us couldn't eat - I asked if there any other option because I can't eat pork, one of the crew members told his colleague ""We have vegetarian sandwiches but if we will give him one, every one else on the plane will ask for one"". Usually with my experience on flights there is a vegetarian dish for some of us who don't eat meat, but in my case the crew member just told me that there is nothing he can do for me. ",6,negative,-0.4588,-0.11813333333333333,-0.3612,-0.0978
Thai Airways,Economy Class,5.0,no,"My family and friends travelled from Dubai to Hong Kong via Bangkok return. Cabin staff with no smile, and was reluctant to preserve an economy class meal for the kid who was sleeping - I was told to take it then or I might not be able to have it later. The hostess who served me was grumpy as if someone was forcing her to do this job! ",3,unknown,-0.0777,-0.0005666666666666598,-0.0777,-0.0005666666666666598
Malaysia Airlines,Economy Class,2.0,no,"✅ , |  Flew Malaysia Airlines MH604 from Singapore to Kuala Lumpur. It was operated by the Boeing 737-800with super old cabin. Cabin was insanely hot until reaching cruising altitute. Legroom was tight and the leather seat was not unfortable at all. Flew back on MH605 on the same day and faced the same problem.",5,negative,0.4588,0.07996000000000002,0.4588,0.07996000000000002
MIAT Mongolian Airlines,,,no,"I am amazed to hear everyone commenting on flights leaving on time. In four years I have never been on a MIAT flight to or from Mongolia that has left on time. Time delays range from 20 minutes to 20 hours and have tended to lean towards an hour or so. I always allow a good delay for my connecting flights on the other end and more than once I have had to reschedule those flights anyway. Admittedly the service food and aircraft are improving in recent years but I still don't count on ""on- time"" departures.",5,unknown,0.5789,0.21627999999999997,0.5789,0.21627999999999997
Air Cairo,Economy Class,1.0,no,Worst airline experience I've ever had. Ruined my last day in Egypt. Spent a total of 10 hours in airport due to delays then when arrived in Cairo baggage was also delayed.  Aircraft dirty seats uncomfortable. I booked a tour and this was the flight they sent me on. Never book with this airline. It will ruin your holiday.,7,negative,-0.9403,-0.3245142857142857,-0.9231,-0.2976571428571429
Air Namibia,Business Class,1.0,no,"It was the first time I flew Air Namibia in June 19 in Business Class: thinking it was/would be a good and short flight from Cape Town via Windhoek to Frankfurt in business, but what I then experienced, was definitely not cool. Ok, the total cost/fare I paid was less than other comparable airlines at that point in time: but the fact that first of all my connection flight, from Cape Town to Windhoek, which was originally scheduled to only need about 1 hour for transit, was actually then cancelled. Hence I was advised - just a few days before departure then - to use a flight from Cape Town to Windhoek much earlier, leading to a like a 4 hour stopover on Windhoek. Not what I wanted, and also why I did not take another airline into consideration - then I could already have chosen Ethiopian or Turkish etc with a similar stopover time. Anyhow: so: the lounge in Windhoek is not a business lounge-like anywhere else in the world. It is so bad: no proper food, not adequate seats, no service - nothing, not even adequate toilets. Ok, the beer is ok - if that is what you need to survive. Now back to the plane: The service is more than just reasonable - nothing special - but for sure not business class standard. The seats are worn out - but I must admit flat seat at least. But that is basically all I can say positively. All the rest is not business class-related and feeling old. Food, just ok, hardly any selection of drinks and the worst thing: I do not know what really happened to my luggage: it arrived - ok - but in such bad condition. I hardly have ever seen before. So I must assume and believe that happened during the long transfer/transit in Windhoek as described above (as I travel a lot from and to Cape Town) but this trip definitely did wear out my luggage.",14,negative,-0.461,0.07775000000000001,-0.461,0.07775000000000001
Aer Lingus,Economy Class,6.0,no,"Short hop across the Atlantic. But rather uncomfortable and disappointing flight. Cabin crew were not groomed particularly well and this set the tone of their service. They gave an impression of not wanting to be there or perhaps even tired. Food service was fine and speedy drinks bar service with reasonable prices. I don’t use IFE. But a cramped single aisle plane with only two toilets is not suitable to be honest. People sleeping with legs in the aisle made going to the bathroom at the back an epic journey. I think IE could do a little bit better particularly with its crew, grooming, and set the tone a bit better. Not a cheap one way ticket either.",10,unknown,0.2929,0.020600000000000018,0.5246,0.020519999999999983
Avianca,Economy Class,1.0,no,"From Pearson Airport when Avianca made us to pay $320 for two carry on we realized we have made big mistake with choice of airline that did not end just there, the staff were kind of rude. The level of the rudeness was tripled in the return flight to Toronto on Feb 1 2023 they seated us in middle seat in three rows when I complained they completely ignored me. I strongly recommend not to use Avianca as your way of transportation.",3,negative,-0.8514,-0.3156,-0.8067,-0.2814666666666667
Jetblue Airways,Business Class,3.0,no,"Mint (business eqv) is supposedly their premium product on long haul flights. Remembering that this is a narrow body jet the configuration is tight. The seat is very narrow and would be uncomfortable for someone with a fuller figure. Food is OK but nothing special. The worst aspect of this airline is unfortunately their rude and aggressive cabin crew, customer service and consideration just does not feature. When asking for more champagne I was told ""it's run out - you get what you pay for"". They also police mask wearing with a nonsensical zealotry that many found oppressive, intrusive and unnecessary. I have not experienced this approach on any other airline as they seem to revel in telling what you cannot do. The cost of UK£3500 is not cheap for J class and when you factor in no lounges and really horrible to non-existent service, it is very overpriced. I have read many comments regarding the awful attitude of their cabin crew and wonder why management have not addressed this. Needless to say I nor anyone in my business will be flying with this company ever again.",11,negative,-0.9647,-0.25434545454545454,-0.9669,-0.2550272727272727
American Airlines,Economy Class,1.0,no,I had a total knee replacement and I was assigned a middle seat. I ask Guillermo at gate D21 at 9:40pm if he would change my seat due to my condition. He said in a rude tone that I would have to pay for it because nothing is free. Then he walked away and left me standing there. He didn't even wait to a reply.  I wish there were other airlines that I could take but I'm stuck with rude people.,6,negative,-0.7718,-0.23548333333333335,-0.6909,-0.18508333333333335
Allegiant Air,Economy Class,,no,"Initially I was very impressed with the seat quality and aircraft. The flight attendants on my flight from Colorado Springs to Las Vegas Friday May 22nd were however extremely and unnecessarily rude. They instructed everyone to turn off their phones and I complied but left my noise-canceling earphones in because research shows decibel range while on an aircraft has been proved to cause hearing damage. She came over to me and said extremely rudely ""Are you coming to Las Vegas with us?"" I replied ""yes?"" She said ""Then you need to turn off your phone right now!"" I showed her that it had already been turned off. Even more rudely and insultingly she said ""Take out your earbuds now!"" I stated ""they are noise-canceling and that's why I have them in."" She said ""I don't care you need to take them out."" I was amazed at her lack of tact and insulting way of speaking to clients. I will gladly pay an extra two hundred dollars to fly on an airline where customer service is valued. It starts the vacation off with a terrible taste in your mouth.",9,unknown,-0.9724,-0.26335555555555556,-0.9707,-0.24175555555555553
Finnair,Economy Class,5.0,no,"From Paris to Helsinki, no food at all, feels like low cost. From Helsinki to Bangkok and then Singapore to Helsinki, flights very long (13 hours) because we cannot fly over Russia - no pre snack - on the main meal no choice and no dessert, only a small omelette. Left hungry. IFE/AVOD limited. Very distant flight attendants on 3 out of my 4 flights. Chose them because of the price, indeed it’s cheaper but feels a lot like low cost.",6,unknown,-0.4678,-0.15938333333333332,-0.4678,-0.15938333333333332
Aegean Airlines,Economy Class,1.0,no,"This was my first time flying with Aegean, and my experience was anything but pleasant. Starting from when I checked-in at the counter, I have an SA Gold member where I get 20kg of free luggage, but the staff there says I have to pay another 45 Eur even though it should be free, and I explained that I have SA Gold and it should be free because I had a return ticket and I got 20kg free but the staff didn't care but tore the baggage tag in front of me and told me to go to the ticket agent at the airport, luckily the agent helped me a little bit to help me input manually, even though my status was still valid instead will be extended until next year. The second problem was when I was about to board in Athens, when it was my turn they stopped me and asked for a Moroccan visa or residence permit, I said my passport didn't need a visa to Morocco for up to 3 months and I even gave him a look at the Moroccan visa policy and he really didn't care.",3,negative,0.9587,0.2903,0.9587,0.2903
American Airlines,First Class,2.0,no,"Ft Lauderdale to Philadelphia. The plane turned around very quickly to accommodate connections in PHL. I appreciate the captains concern. To make this turnaround happen, no food was put on the plane and minimum clean up was done. I paid full fare first class. Nothing but 2,000 points offered. I should have been refunded my fare down to a full coach fare. I will do my best to not fly American and to let the world know how unimportant the customer is to AA.",8,negative,0.714,0.1212875,0.6808,0.0988375
