AirlineName,CabinType,OverallScore,Recommended,Review,sentence_count_period,proxy_label,vader_original_full,vader_original_sentence_avg,vader_adjusted_full,vader_adjusted_sentence_avg,vader_final_score,vader_final_label,vader_final_score_source,vader_final_threshold,dataset_label_recommended,dataset_label_rating,dataset_label_high_confidence,dataset_label_consistency
Philippine Airlines,Economy Class,8.0,no,MNL-CEB-MNL. From MNL check-in was quick and easy until we get to the waiting area of Terminal 2 which was packed with people early in the morning which was understandable considering it was peak season. We were delayed about 20-30 mins. On boarding the A330-300 the seat was fairly comfortable although I think the legroom was a little small. The cabin crew were alright the cabin temperature good enough. On the return check- in was quick and easy delayed again for 30 mins. Before boarding one of PAL's newest B777-300ER the cabin ambience was good and everything felt good the seats were new and comfortable legroom roomy good IFE system this plane is more comfortable than the older A330. Cabin crew were nice and accommodating the second flight was the real value for our money.,8,unknown,0.9834,0.393775,0.9832,0.381875,0.9834,positive,vader_original_full,0.05,negative,positive,unknown,conflict
Thomas Cook Airlines,Premium Economy,7.0,no,"We recently holidayed in Cuba with Thomas Cook (3rd to 17th April) and apart from being forgotten and left behind at the hotel in Havana (were told we could use the toilet then the bus immediately left without us - they did return) the holiday itself was excellent. Both hotels were wonderful but having paid a total of £200 each to upgrade to premium economy we were really disappointed with the flights. Leaving Manchester was brilliant as we were duly given 'priority boarding' ushered through quickly smiling attendants assuring us we'd 'paid for it' and at Varadero airport our luggage arrived first having also received priority treatment. However that seemed the full extent of the perks. Despite the promised of being ""able to watch a selection of the latest blockbuster movies and our favourite classic movies hit TV shows and radio channels"" we found it was impossible to listen without purchasing headsets - clever wording indeed! Further although the website shows a number of goodies available in premium economy (drinks newspapers etc) none of these are available until May (not made clear.) Worst of all however was the lack of priority treatment on the way home. While there was one queue for 'priority' there were two lanes for 'VIP' so that a couple that paid £20 each to enjoy air-con and freebie drinks and eats at the airport were prioritised and ushered through a good twenty minutes before us. Our luggage was treated with similar disregard and given no priority at all trundling out long after many others had left causing us to miss our booked train home! While on the flight back we begged the staff to warm up the cabin. In row 7 the fans were blowing icy air right around our heads/necks and the crew seemed completely unable to rectify it so we got very little sleep at all (the sleep situation being worsened by people stomping through from the cabin behind to use the front loos - with there only being 1 toilet between 49 of us this resulted in frequent and frankly unnecessary queuing. So my advice to you is think long and hard before paying out to turn left with Thomas Cook - I'm really not sure it was worth stacking another £400 on our holiday!",10,unknown,0.988,0.1186799999999999,0.9871,0.12033,0.988,positive,vader_original_full,0.05,negative,positive,unknown,conflict
Thomson Airways,Premium Economy,7.0,no,TOM144 Manchester to Cancun. 787 Dreamliner Premium Club Cabin. An impressive modern new aircraft with great mood lighting which created a more relaxed atmosphere. The crew were friendly overall and the food was pretty good. The one thing that let Thomson down was the seat. For an aircraft that was 10 years in the planning it I think someone has messed up at Thomson with a basic design consideration. The seat itself is relatively comfortable and once sat down the leg room is adequate. This issue is that seat in the Premium cabin is clearly not designed to be so close to the seat in front. The TV screens are stowed in the central arm of the seat meaning that the arm rests between the seats protrudes out a significant distance to the seat in front. Even with the seats in the upright position the average sized person struggles to get out of the window seat without climbing over the aisle seat. During the flight you are regularly disturbed by the person behind grabbing your seat back in order for them to try and manoeuvre out of their window seat. You can already see signs of damage on the aisle seat armrest where the person in the window seat has put their weight on the armrest in order to get them self out. The seats recline no more than an inch or so and I assume they have been restricted as an afterthought in order to try and minimise the issue. This is annoying as it would be nice to recline your seat a little to get some rest (there will not be much dreaming going on in the Thomson Dreamliner). Once the seat in front reclines even this short distance you effectively become trapped in the window seat. The seats power sockets and headphone sockets are also located in the front of the central armrest holding the tv screens. It is almost impossible to access the sockets because you can't see the sockets or move your head into a position where you can. This is because your head hits the seat in front before you can get a viewing angle to see the sockets. Not looking forward to my long night flight home as I had hoped I would sleep. We paid £1300 each for return flights to Cancun and so I consider the value for money to be poor.,20,unknown,0.9509,0.0474349999999999,0.9392,0.0511699999999999,0.9509,positive,vader_original_full,0.05,negative,positive,unknown,conflict
American Airlines,Business Class,7.0,no,"✅ , |  New York JFK to Buenos Aires with American Airlines. New business class layout, significantly improved from the old angle flat seats. Rather unusual arrangement, with every other row facing backward, similar to BA except that the seats are at an angle, with full separation between middle row seats. Not much storage space, though. The crew however were unengaged bordering on rude, no interest shown to the passengers, mechanical, no smiles, one felt that they'd rather be anywhere else but on the plane. Food was quite a disappointment, as well, edible, but resembling canteen fare. IEE were a bright spot, screens large, sharp, HD, with tons of movies and variety of shows. Overall, a vast improvement from the old business class, but what makes a journey pleasant and enjoyable is the cabin crew, and once again America Airlines disappoints. Not sure if I'd choose AA if this weren't an award fare, paid with miles.",9,unknown,0.4305,0.042411111111111,0.5183,0.0516333333333333,0.4305,positive,vader_original_full,0.05,negative,positive,unknown,conflict
Finnair,Economy Class,9.0,no,HKG-HEL Economy class with comfortable seat and good leg space friendly FA's. With an hour delayed but still arrived in HEL on time for transfer. A bottle of water was provided when boarding. A very good inflight entertainment system with lots movies and music. Return flight from HEL only provided cold breakfast with no choice was a disappointment. Overall it was a good fly experience and would like to fly Finnair again.,6,unknown,0.9183,0.2448333333333333,0.9039,0.2308999999999999,0.9183,positive,vader_original_full,0.05,negative,positive,unknown,conflict
Ukraine International,Economy Class,8.0,no,"Vienna to Vilnius via Kiev with Ukraine International. The check-in to Kiev was easy and the staff were very polite and nice. I was upset that I could drink only water for free. The Embraer plane was OK. There was not enough information from the cockpit about the flying situation and where we are at, the time or how high we are. A flight to Vilnius from Kiev was a nightmare, because the Boeing aircraft was very old. I am 187cm high and my legs didn't fit where I was sitting. Close to me and around were 5 little children screaming and shouting all the time. The staff were polite and nice to all of the guests. I flew back to Vienna through Kiev. Both flights with Embraer aircraft. The flight was quite good and staff nice. The only problem were the other passengers. They were very unpleasant and loud. They weren't listening to what the staff said. For 200 Euro it was too expensive for a economy class without a luggage but staff were quite good.",16,unknown,0.805,0.100025,0.8556,0.10650625,0.805,positive,vader_original_full,0.05,negative,positive,unknown,conflict
Air Berlin,Economy Class,8.0,no,"Düsseldorf to Catania via Rome. Booked Alitalia, got Air Berlin. I was prepared for delays and even cancellations, because of the insolvency of Air Berlin. And indeed: our original inbound flight from Catania tot Düsseldorf with a change in Milan was cancelled, but within 10 minutes we were moved to the direct AB-flight CTA-DUS. Even better. So we had two punctual flights, with a friendly crew and reasonably priced drinks. Leg room was awful however. I like the small route screens on Air Berlin aircraft. But it's all over since Air Berlin stops flying in a few days, so no recommendation. Pity, because Air Berlin was one of my favourite airlines. Never had any problems.",11,unknown,0.8366,0.0385363636363636,0.8783,0.0493090909090909,0.8366,positive,vader_original_full,0.05,negative,positive,unknown,conflict
Kenya Airways,Economy Class,7.0,no,Frequent traveller between NBO-EBB. Good mannered and helpful staff. Left 10 mins ahead of schedule and arrived on time. This is unique given frequent delays on this route. Will the improvement hold?,5,unknown,0.8271,0.2299199999999999,0.836,0.26164,0.8271,positive,vader_original_full,0.05,negative,positive,unknown,conflict
Virgin Atlantic,Premium Economy,7.0,no,SYD-HKG-LHR on A340-600. Had a champagne prior to take off which was average to say the least. The cabin service was friendly and attentive and food was a step up from Economy. It was a nice touch having real cutlery china and your meal tray served on a tablecloth. The seats were wide but not as much space as I would have expected to the next seat in front. The old bugbear when the seat in front reclines fully is still a problem in Premium Economy it is very intrusive and you need the passenger next to you to climb out if you want to get past them. We got more sleep than previous flights in Economy but it is still a fairly uncomfortable experience. Virgin Atlantic needs to introduce noise-cancelling headphones as the sound quality is poor with the existing headphones but the entertainment selection was excellent. The cabin noise was quiet having only 38 passengers and a dedicated toilet was a good feature. This was our first experience in Premium Economy and while it was a step up from Economy I do not think it is worth the extra money. We would have stopovers next time and avoid flying a 14 hour leg if we could as you do not arrive at your destination feeling particularly refreshed.,11,unknown,0.8735,0.1754363636363636,0.9217,0.1958363636363636,0.8735,positive,vader_original_full,0.05,negative,positive,unknown,conflict
Malaysia Airlines,Economy Class,7.0,no,Flew Malaysia Airlines 4 times in the last month. The flight departing Kuala Lumpur to Sydney at 22.50 provided no evening meal but a snack only. This turned out to be an inedible mushroom sausage roll. The alternative (non vegetarian) was not available. This is clearly inadequate for a 5 star airline particularly as we had been on a connecting flight with a 3 hour transit at KL and the breakfast serving would not be for 5 hours. Malaysia certainly need to lift their catering for long haul flights.,7,unknown,0.3612,0.0267,0.3612,0.0267,0.3612,positive,vader_original_full,0.05,negative,positive,unknown,conflict
Emirates,Business Class,7.0,no,"Dubai to Manchester. Boarded the plane at the last minute owing to delayed previous flight. The cabin crew walked past me three times without offering a drink although on each occasion she had a tray full of drinks. I did eventually get a drink but only after I specifically asked for one. A380 seats for me are uncomfortable and claustrophobic. Cabin crew service was poor and disjointed with the majority of business class crew spending more time in the bar area chatting, at times outnumbering the passengers there. The main meal was very good although the wine service was poor. Again, the chocolates mentioned in the menu were absent as was ant offer of coffee after the meal. In flight entertainment was good. This was the sixth flight on business class with Emirates within four months and each time I have been very disappointed with the product. Service on the A380 seems to be very poor.",11,unknown,-0.9252,-0.1458363636363636,-0.9116,-0.1360090909090908,-0.9252,negative,vader_original_full,0.05,negative,positive,unknown,conflict
Allegiant Air,Economy Class,8.0,no,Flew from Niagara Falls to Sanford. Flights were on-time. No frills airlines but additional charges were excessive. Normal checked baggage with other airlines is 50lbs. With these guys its 40lbs. Had to pay additional $150 for overages. Convenience has a price tag other than that I would fly with someone else.,7,unknown,-0.5927,-0.0864285714285714,-0.5187,-0.0507142857142857,-0.5927,negative,vader_original_full,0.05,negative,positive,unknown,conflict
AirAsia,Economy Class,8.0,no,Flew Air Asia in June 2014 from Surat Thani to Kuala Lumpur. The Surat Thani airport is very small you go down an escalator and walk onto the tarmac to board the plane. The plane boarded on-time and very quickly. The flight staff were still vacuuming when I boarded! They boarded the plane quickly and had an easy departure and easy landing. The distance between seats is really small. I am not a big person but these seats are very close! They do recline but not much. Not very comfortable for a long flight but for a short flight you can put up with it. The price was pretty reasonable. They do charge for everything though. I paid extra for a seat assignment one piece of luggage and a chicken dinner. Total came to around $2600 Bhat which is about $80 USD. For a short flight it was fine although the seats are not very comfortable.,12,unknown,0.3021,0.0585166666666666,0.8722,0.0924666666666666,0.3021,positive,vader_original_full,0.05,negative,positive,unknown,conflict
Korean Air,Economy Class,3.0,yes,My wife and I flew from Las Vegas to Incheon (KE005) and Incheon to Bangkok (KE657) on December 17 2014. Check-in at Las Vegas was quick and easy. Staff were very professional and polite. Our aircraft was a Boeing 777 from Las Vegas and the flight was completely full. I was very disappointed in Korean's B777 33 in. pitch in economy seating. My knees were jammed into the seat in front of me the whole 12.5 hour flight making for a very uncomfortable trip. I am 6 ft. tall and 33 inch seat pitch is just not enough space for the 12 plus hour flight. It was also very difficult to eat from the tray table when it is jammed into your lap contributing to a very bad flight experience. Korean Air seems to be missing the point when they skimp on customer seat space to enhance their bottom line in profits. Seat space is my only main complaint about Korean Air's commitment to quality of service. I might add that KE657 was an older B747 and to my surprise offered more seat pitch in their economy seating in the 6 hour trip than on their B777's 12 hour trip. From now on my airline loyalty will not be based on price but on seating comfort. Maybe flying an airline with premium economy class may be my next choice.,16,unknown,0.2764,-0.004,0.6529,0.05009375,0.2764,positive,vader_original_full,0.05,positive,negative,unknown,conflict
American Airlines,Economy Class,4.0,yes,"My wife and I, are American Airlines credit card holders so we are very disappointed. We were flying from California to Texas and has the option give up our seats for a flight voucher. which we did. But, due to Covid mandates we were unable to fly prior to the vouchers expiring. When I called and spoke with customer service they replied to me in an email, but they never followed up with us and I was never able to redeem my voucher. This is not the first time that this has happened but I swear it will be the last. If a company is not able to hold up their part of an agreement it makes me weary of trusting them in the future!! I will never give up my seat again for a travel voucher or an upgrade with American Airlines ever again.",7,unknown,0.7259,0.0543142857142857,0.7259,0.0543142857142857,0.7259,positive,vader_original_full,0.05,positive,negative,unknown,conflict
Thomson Airways,Economy Class,4.0,yes,Manchester to Mahon and return for a week's holiday. Outbound flight was on time and with no hitches to speak of. Return flight was a totally different experience. Arrived at the airport in good time and was expecting a 20.30 departure back to Manchester. Boarding time came and went departure time also and we could see the aircraft waiting for us in front of the boarding gate. We waited and waited until the aircraft Captain came into the lounge informing us of a technical problem which was not going to allow him to fly the plane home. They were hoping to get an engineer over from Palma but this did not happen. No flight home that night and after a 3 hour wait were out of the airport and to a hotel at nearly 02.00. Finally got off the ground at 12.30 the following day and eventually was nearly 16 hours late arriving in Manchester. The entire experience soured what had been an enjoyable holiday.,13,unknown,0.8922,0.0489307692307692,0.8922,0.0489307692307692,0.8922,positive,vader_original_full,0.05,positive,negative,unknown,conflict
Virgin America,Economy Class,2.0,yes,"I am sitting on the aircraft right now about to take off from Los Angeles to Newark. It's a real shame because I had such a good experience flying from JFK to LAX, but I have to write a bad review because I was met with such incredible rudeness by one of he stewardesses. I politely asked if I might be able to switch seats to a window seat (the entire row was empty). Instead of politely telling me she had to wait till we took off she aggressively, and extremely rudely commanded two times in a row that I sat down at my assigned seat. I really think it's a shame because Virgin America is generally great, but this specific stewardess should not work in the service industry.",5,unknown,-0.9511,-0.3268799999999999,-0.9511,-0.3268799999999999,-0.9511,negative,vader_original_full,0.05,positive,negative,unknown,conflict
KLM Royal Dutch Airlines,Economy Class,4.0,yes,Stockholm - Amsterdam - Nairobi return. The outbound journey was very pleasant with everything going very smoothly and the comfort in terms of seating food and entertainment was just fine. However when going back home we were notified that our flight was cancelled for unclear reasons that KLM did not want to tell us (we still haven't gott any explanation more than two months later). We got a less comfortable alternative journey home which worked out alright. I guess cancellations can happen but the way KLM handled this one makes me a bit hesitant to choose them again.,5,unknown,0.5005,0.124,0.4747,0.11592,0.5005,positive,vader_original_full,0.05,positive,negative,unknown,conflict
GoAir,Economy Class,1.0,yes,"I called the airport authority as well as the customer support service, it gets connected but no one received the call. I'm trying to contact for the last 4 days and same thing is repeated. This is how the customers of GOAIR is treated. I give a full ring and no one pickup the call and suddenly they get busy. Then why ain't they receiving my call for the last 4 days. Ridiculous service.",6,unknown,-0.743,-0.1202666666666666,-0.743,-0.1202666666666666,-0.743,negative,vader_original_full,0.05,positive,negative,unknown,conflict
Royal Jordanian Airlines,Economy Class,1.0,yes,This review is for the 11:20 flight RJ111 from Amman to London Heathrow on 10 Feb 2022. The lady at the boarding gate for the economy line was very rude towards guests. She needs retraining on her on how to interact with customers politely.,3,unknown,-0.5095,-0.1698333333333333,-0.3167,-0.1055666666666666,-0.5095,negative,vader_original_full,0.05,positive,negative,unknown,conflict
Aer Lingus,Economy Class,3.0,yes,"We flew with Aer Lingus from Dublin to Orlando on 22nd October. We requested a seat near the toilets for our daughter who is wheelchair bound and cannot stand, and we ended up 4 rows away which is a big distance to carry her along the isle. This happened because the plane was changed at the last minute. I would hope we are near the toilets on the way home. I would like to commend a flight attendant who took over the situation and tried to get us moved closer but to no avail. She assured us there was a wheelchair onboard to take our daughter to the toilet and that she would gladly assist us. This set our minds at ease and I would like to thank her very much for her help in the situation. My overall rating is because we did not get the proper seats on check in.",8,unknown,0.9661,0.2327624999999999,0.9661,0.2327624999999999,0.9661,positive,vader_original_full,0.05,positive,negative,unknown,conflict
Thai Airways,Business Class,4.0,yes,Flew LHR-BKK-RGN return and chose Thai on grounds of price and timetable convenience. Some years since I last used Thai and whilst the service was charming and friendly other aspects left much to be desired. In particular the seats although almost lie flat (would it cost much more for 100% flat?) were difficult to adjust for a comfortable sleep. The food was almost inedible even the pre-ordered meals.,4,unknown,0.872,0.261625,0.8126,0.228125,0.872,positive,vader_original_full,0.05,positive,negative,unknown,conflict
Asiana Airlines,Economy Class,4.0,yes,"During the flight, a huge majority of the passengers as well as most, if all not, of the cabin crew were Koreans. Except from the announcements (turbulence, arriving message, etc) played over the PA system, all other announcements (asking if anyone wanted extra servings of beverages or had rubbish for throwing, etc) relayed by the flight attendants face-to-face were done in the Korean language only. No efforts were made by the cabin crew to engage non-Korean speaking passengers, as they seemed to have forgotten that there were passengers of other nationalities on board. In this aspect, Korean Air fared far better.",4,unknown,0.7906,0.2823,0.7906,0.2823,0.7906,positive,vader_original_full,0.05,positive,negative,unknown,conflict
Jetstar Pacific,Economy Class,4.0,yes,"Ho Chi Minh City to Da Lat. Based on previous flights on this route, I had already expected a delay between 1 and 4 hours, and I was right: 2 hours delay. So I tried not to stress myself. Not much announcement from the company (like email, SMS). Even the captain did not bother to say something. The check-in staff was friendly but they weight anything that moves. Be prepared! They also retain your ticket and passport until your checked-in luggage is scanned. You can check-in online and it is nice that they assign the seats together even if you did not book seats. The plane was relatively new (2 years old).",9,unknown,0.8433,0.1529222222222222,0.8164,0.1367888888888889,0.8433,positive,vader_original_full,0.05,positive,negative,unknown,conflict
easyJet,Economy Class,1.0,yes,"I booked and paid for extra leg room seats and easy boarding. I then added $7 to her hands free. I arrived at Stansted this morning and the Manager rudely told me that I’d have to pay an extra £40 for the checkin bag. I said I had paid for hands free and she said she didn’t care as I was taking a bag on the flight so I wasn’t eligible for it. She was rude and unhelpful and despite paying the £40, refused to refund the £7 I had already paid.",5,unknown,0.5994,0.1029199999999999,0.5994,0.1029199999999999,0.5994,positive,vader_original_full,0.05,positive,negative,unknown,conflict
SAS Scandinavian,Economy Class,4.0,yes,"✅ , |  Split, Croatia to Washington, DC via Stockholm, Sweden and Copenhagen, Denmark. SAS Arrival Services in Stockholm gave me the rudest treatment I've ever received by an airline. The flights were not bad, but the customer service experience in Stockholm was bad enough to make me think twice before flying this airline again. I did not know where to go when I arrived in Stockholm. I had a layover there overnight, and the signs were very confusing. I went to Arrival Services for help. When I got there, two people were receiving help at the counter, so I took the next number and stepped back to wait in line. As I waited, a large group of unhappy passengers missing baggage started to show up there, except they ignored the numbers and the line and went straight to the counter. I was upset, but I figured that the customer service folks would ask them to wait. Rather than tell them to take a number, however, they simply started serving the rude passengers. Trying to be polite, I waited, and waited and waited. After about 30 minutes had passed and roughly 30 other passengers had walked around me, I decided to be more assertive and approach the representative directly, who had stepped out from behind the counter. When she finished with her previous passenger, I looked her right in the eye and said hello, and started to ask for help. At that moment, another passenger (presumably Swedish, from the way she spoke) stepped around me and started speaking to the same representative. The rep turned to her and started helping her instead. Finally fed up, I interrupted them and asked for help. I stated that I had been next in line for 30 minutes, and I just had a simple question to ask. She said ""I'm working right now"", in a tone that indicated I was not worthy of her assistance. Not sure what I had done wrong (other than wait in the line they had askede to wait in), I interrupted again. I said ""My problem is simple, I don't have any lost baggage"". She replied ""I am speaking to this person right now"", indicating the girl that had stepped in front of me. Now completely annoyed for having been repeatedly ignored, I said ""she just stepped right in front of me!"", to which I received the response of a disgusted sigh and a dismissive wave of the hand. She turned away and helped the order passenger. I was floored by the rudeness. I walked away for 15 minutes, and came back. The other passengers were now gone. I walked directly to her and asked if it was finally a good time to offer me some help. She smiled at me as if we'd never met before, no apology, but it was one of those smiles that indicated she was really just hoping I would leave. Although she did finally answer my question, I left there feeling like I must have really done something wrong to earn that kind of treatment. Maybe it was just that I wasn't Swedish. Everything else was okay. Flights were fine, food was fine. Inflight staff were moderately polite, but not incredibly warm.

**ASKED FOR THE TICKET HE PROMISED",34,unknown,-0.4989,-0.0352970588235294,-0.0931,-0.0213529411764706,-0.4989,negative,vader_original_full,0.05,positive,negative,unknown,conflict
Ethiopian Airlines,Business Class,4.0,yes,"Having flown on Ethiopian Airlines number of times before I knew what to expect. It was a pleasant surprise to discover that the A350 had its latest business seats which were fairly standard although hiding the remote control in a cupboard did not seem to make much sense. As I arrived, despite only half the seats being occupied at that point, all of the overhead bins occupied and many of them were larger than the size the airline allows. I asked one of the cabin crew what was happening and she conceded – very apologetically – that all of the bags belonged to crew members. I managed to squeeze my bag next to an oversized pilots’ case. There seem to be at least five pilots occupying seats largely at the front of the business cabin which, of course, meant that they were served food and drink first. If Ethiopian Airlines wants to achieve reputation for being the best airline in Africa then it should try to emulate best practice and seemingly giving priority to its employees over passengers who had paid a significant amount of money to fly business class is not the best way of doing this. The cabin crew seemed embarrassed but clearly did not feel able to challenge their pilots. Other than this irritation the flight was smooth, the service efficient, the seats comfortable and both getting on and off the aircraft went smoothly.",9,unknown,0.9091,0.2471444444444444,0.946,0.2834111111111111,0.9091,positive,vader_original_full,0.05,positive,negative,unknown,conflict
Turkish Airlines,Economy Class,3.0,yes,"Frankfurt to Ankara. Checked in well in advance as I was connecting from an overseas flight. The agent had difficulty locating my reservation despite having been presented with an electronic boarding pass and my passport. At the gate, boarded with the priority group given my status on Star Alliance. On board, the hard product looked good and with the exception of my audio jack the seat functions worked well. Following take off we were offered lunch with two options for main course. The food was tasty for economy class and the portions were OK. Several beverage choices including beer, wine and spirits were offered. The IFE had a glitch where every movie choice was directed to the wrong film each time. The seat was comfortable enough for economy. The flight pushed back and landed on time. I have taken multiple international and domestic flights with TK in recent years and as with my previous flights, this one had passengers standing up and walking to the front of the aircraft while taxiing. The FA’s did not force them back to their seats and simply replayed the pre-recorded safety message. As a result, the plane taxied for about 10 minutes with several passengers standing in the aisle and opening overhead bins risking the safety of others around them. Whilst most of my on board experience has been pleasant with TK I am appalled to see that their FA’s do not enforce the most basic safety rules and simply ignore violations. This is a very concerning display of TK’s safety culture and raises questions about the rest of their operations.",16,unknown,0.7951,0.098525,0.7769,0.0858749999999999,0.7951,positive,vader_original_full,0.05,positive,negative,unknown,conflict
SpiceJet,Economy Class,2.0,yes,This is a low fare airlines that appeals to many budget minded travelers. However the airlines baggage policy is completely out of line with the international standards. For example most international carriers offers checked-in luggage up to 23 Kg while SpiceJet is only 20 Kg. The carry-in is limited to 7 Kg only. When you check in your luggage after arriving from overseas journey SpiceJet charges 200 Rupees per Kg an extraordinarily high rate. Checking-in Staff are eager to charge and seldom give a consideration to a traveler's appeal. One feels trapped as there is no option. My advice to SpiceJet increase the weight limit to 23 Kg and institute a flat fee in Indian Rupees equivalent to $25 dollars for an extra piece of checked-in luggage not the 200 Rupees per Kg rate. My advice to international travelers do not expect any concession from ground staff; most of them are trigger-happy to charge fees for extra weight.,9,unknown,-0.7096,-0.0860111111111111,-0.7096,-0.0860111111111111,-0.7096,negative,vader_original_full,0.05,positive,negative,unknown,conflict
AirAsia,Economy Class,4.0,yes,Singapore to Kuala Lumpur with AirAsia flight AK718. Used the kiosk to get my boarding pass and went direct to gate. Flight itself delayed 1.15hours due to congestion at the airport thus making us end up sitting inside the plane for the duration of the time. Onboard FA not so friendly and just did the basics but since this was a short flight not a big concern. Overall still a great flight. I choose to fly with them because of the good schedule to select from.,7,unknown,0.8358,0.0790999999999999,0.8556,0.0946714285714285,0.8358,positive,vader_original_full,0.05,positive,negative,unknown,conflict
Malindo Air,Economy Class,2.0,yes,"Kuala Lumpur to Langkawi. I like Malindo's Boeing planes, but the turboprop was awful. Starting from the airport in Kuala Lumpur Subang, check-in and boarding process and the flight itself. Seats are super tiny in those planes. It was short, but very uncomfortable flight. I gave it a try, but don't want to do it again. I'd rather go to KLIA and fly on a normal plane.",7,unknown,-0.2669,-0.0828428571428571,0.0688,-0.0499714285714285,-0.2669,negative,vader_original_full,0.05,positive,negative,unknown,conflict
Delta Air Lines,Economy Class,3.0,yes,I flew on this airline and experienced delays of 2-3 hours. They made me miss my connection. I had to wait to get a gate to de-board. Service was ok but I will not fly with this airline again.,4,unknown,0.0772,0.0,0.0772,0.0,0.0772,positive,vader_original_full,0.05,positive,negative,unknown,conflict
Finnair,Economy Class,4.0,yes,"Generally, Finnair is a good airline when it comes to on-board service and security. What really doesn't work is the way their customer service handles delays. I had two delays with Finnair in 2018. In both instances, I had to stay in Helsinki overnight (a hotel room in the vicinity of HEL Airport was provided ), but when the question of compensation according to EU-legislation came up, Finnair continues to do everything possible to avoid payment. My flight from Tallin to HEL in August 2018 was due on a Friday at noon, which would have made it possible to catch the onward flight to VIE on Friday evening. In Tallinn, aproximately 24 hours before departure (Thursday at around 1 p.m.), I received a phone call from Finnair customer service, telling me that my flight the next day was cancelled, no reasons mentioned. The only solution was to book me on next day's evening flight from Tallinn to HEL, which meant that I would miss the connecting flight and would have to spend the night at a hotel at the airport.  I claimed the compensation due according European regulations (EUR 250 in this case). Finnair declined to pay the compensation because the flight was allegedly cancelled due to ""extraordinary reasons"". The extraordinary reasons, I was told, were ""unexpected heavy traffic"" at HEL airport and construction works on the runway. Yet, construction work is legally never considered an ""extraordinary condition"" as it is foreseeable and due to the fact that flight was cancelled the day before, ""unexpected high level of traffic"" (on the next day) is impossible for obvious logical reasons. I recommend Finnair as an airline, but be prepared for a lengthy process if you insist on compliance with European rules concerning delays.",14,unknown,-0.4215,-0.0075214285714285,-0.4215,-0.0075214285714285,-0.4215,negative,vader_original_full,0.05,positive,negative,unknown,conflict
Swiss Intl Air Lines,Economy Class,3.0,yes,Flew from New York to Greece through Geneva and returned through Zurich. Half the plane caters to business class. If you're flying economy you're out of luck. The economy class passengers are packed like sardines. No leg room and very tight seats. I'm a small person and I was very uncomfortable. I can't imagine how a larger frame person will be. I'm told that Airbus has nothing to do with the number of seats in a plane. Seats are installed based on the airline requests. An additional issue: I enrolled to the Star Alliance award program through United and Swiss would not credit the missing miles because the trip was already complete when I enrolled but their website does not indicate this. If I recommend Swiss is for the fair last minute booking price and no delays.,11,unknown,0.7754,0.0911909090909091,0.8021,0.1083818181818181,0.7754,positive,vader_original_full,0.05,positive,negative,unknown,conflict
SilkAir,Economy Class,3.0,yes,"Recently I flew Silkair Cairns to Surabaya return via Singapore. On the Cairns to Singapore leg I was seated next to an obese person who intruded as much as 15cm into my seat. I had booked and paid for an exit row because of my height. I am 192cm, 90kg fit and healthy 71yo. I continually asked him to keep to his own seat but it was impossible for him. If he leaned forward his stomach forced his legs into my seat squab. He threatened to punch me. I reported the threat to the attendants and they spoke to him. I was offered a middle standard seat which I had to refuse because of my height. He could have easily been moved to the business section which was occupied by only one staff member passenger. I wrote to them asking for a FOC on only the CNS-SIN sector next time I fly to Eastern Indonesia but they offered a free exit seat CNS-SIN-CNS. Lots of corporate double talk and insincere apologies. If you buy a car and it has no motor you can ask for and get a replacement. I purchased a seat and only got 66% of it and I want a replacement.",14,unknown,-0.9062,-0.0527499999999999,-0.9062,-0.0527499999999999,-0.9062,negative,vader_original_full,0.05,positive,negative,unknown,conflict
Swiss Intl Air Lines,Economy Class,4.0,yes,"Staff is friendly, flight in time, seats were ok. Price was okay but I did not get what I booked since seat reservation is not transparent. They moved my seat even though I had a seat reservation, because they added more business seats. I was moved to the back of the plane. I pay for a service (transport) and I assume to get this service as I booked it and not with hidden terms. Beside of their booking practise I do recommend Swiss International Air Lines.",6,unknown,0.6369,0.1722666666666666,0.5574,0.1446333333333333,0.6369,positive,vader_original_full,0.05,positive,negative,unknown,conflict
KLM Royal Dutch Airlines,Economy Class,1.0,yes,Flew KLM from Amsterdam to Nice. Just shocking how rude and unhelpful the airline staff are at the airport. No such thing as customer service. Several times now I have been overly disappointed in the service by this arline and their staff.,4,unknown,-0.802,-0.2604999999999999,-0.802,-0.2604999999999999,-0.802,negative,vader_original_full,0.05,positive,negative,unknown,conflict
Jetblue Airways,Economy Class,2.0,yes,"Boston to Medellin return via Fort Lauderdale. All 4 flights were delayed by an hour or more, the last flight was 3 hour delay . I have flown Jetblue a number of times, this trip by far is the worst with them. On June 18 flight to Boston, the plane sat loaded waiting to take off of an hour, excuse bad weather yes it was overcast but I have taken off and landed at FLL in heavy weather before. I will say the flight crew was great on each leg of the tri , communication could have been better by terminal staff. in Medellin self check-in terminals worked for some and not for others( including me in Feb it worked fine) needless to say greatly disappointed this time with Jetblue",6,unknown,0.5204,-0.1223333333333333,0.5123,-0.1251166666666666,0.5204,positive,vader_original_full,0.05,positive,negative,unknown,conflict
